"","CB","total_accidentes","Acc_Especiales","Acc_Hpico","Acc_Muerto","Grupos"
"295","8000",1752,118,609,28,"Grupo 4"
"296","8001",3,0,0,0,"Grupo 5"
"297","8002",12,0,2,0,"Grupo 5"
"298","8003",5,2,1,0,"Grupo 5"
"299","8004",13,0,5,0,"Grupo 5"
"300","8005",41,1,11,0,"Grupo 5"
"301","8089",1,0,1,0,"Grupo 5"
"302","8098",57,5,20,2,"Grupo 5"
"303","9003",2,0,0,0,"Grupo 5"
"304","9004",237,13,63,3,"Grupo 5"
"305","9005",3,0,2,0,"Grupo 5"
"306","9008",99,5,27,1,"Grupo 5"
"307","9011",5,0,1,0,"Grupo 5"
"308","9012",1,0,1,0,"Grupo 5"
"309","9077",20,5,9,0,"Grupo 5"
"310","9082",7,0,3,0,"Grupo 5"
"311","9083",60,5,19,0,"Grupo 5"
"312","9085",14,0,2,0,"Grupo 5"
"313","9086",312,30,81,0,"Grupo 2"
