"","Dia","Semana","Mes","Clase","Cantidad_real","Cantidad_Predicha","Grupo_pro"
"827",NA,48,NA,"incendio",1,7,"Semanal"
"828",NA,48,NA,"otro",92,86,"Semanal"
"829",NA,48,NA,"volcamiento",45,33,"Semanal"
"830",NA,49,NA,"atropello",91,78,"Semanal"
"831",NA,49,NA,"caida_ocupante",85,76,"Semanal"
"832",NA,49,NA,"choque",699,625,"Semanal"
"833",NA,49,NA,"otro",107,110,"Semanal"
"834",NA,49,NA,"volcamiento",42,32,"Semanal"
"835",NA,50,NA,"atropello",71,55,"Semanal"
"836",NA,50,NA,"caida_ocupante",78,72,"Semanal"
"837",NA,50,NA,"choque",657,544,"Semanal"
"838",NA,50,NA,"otro",98,65,"Semanal"
"839",NA,50,NA,"volcamiento",48,27,"Semanal"
"840",NA,51,NA,"atropello",86,58,"Semanal"
"841",NA,51,NA,"caida_ocupante",80,72,"Semanal"
"842",NA,51,NA,"choque",621,556,"Semanal"
"843",NA,51,NA,"otro",94,106,"Semanal"
"844",NA,51,NA,"volcamiento",36,31,"Semanal"
"845",NA,52,NA,"atropello",66,42,"Semanal"
"846",NA,52,NA,"caida_ocupante",71,52,"Semanal"
"847",NA,52,NA,"choque",424,357,"Semanal"
"848",NA,52,NA,"otro",86,43,"Semanal"
"849",NA,52,NA,"volcamiento",57,48,"Semanal"
"850",NA,53,NA,"atropello",11,1,"Semanal"
"851",NA,53,NA,"caida_ocupante",14,1,"Semanal"
"852",NA,53,NA,"choque",24,27,"Semanal"
"853",NA,53,NA,"otro",9,13,"Semanal"
"854",NA,53,NA,"volcamiento",9,2,"Semanal"
"855",NA,NA,1,"atropello",270,122,"Mensual"
"856",NA,NA,1,"caida_ocupante",274,148,"Mensual"
"857",NA,NA,1,"choque",1987,1830,"Mensual"
"858",NA,NA,1,"incendio",347,249,"Mensual"
"859",NA,NA,1,"otro",75,79,"Mensual"
"860",NA,NA,2,"atropello",257,216,"Mensual"
"861",NA,NA,2,"caida_ocupante",279,232,"Mensual"
"862",NA,NA,2,"choque",2337,2479,"Mensual"
"863",NA,NA,2,"incendio",280,272,"Mensual"
"864",NA,NA,2,"otro",93,38,"Mensual"
"865",NA,NA,3,"atropello",309,231,"Mensual"
"866",NA,NA,3,"caida_ocupante",388,313,"Mensual"
"867",NA,NA,3,"choque",2237,2059,"Mensual"
"868",NA,NA,3,"incendio",310,281,"Mensual"
"869",NA,NA,3,"otro",85,15,"Mensual"
"870",NA,NA,4,"atropello",311,220,"Mensual"
"871",NA,NA,4,"caida_ocupante",309,288,"Mensual"
"872",NA,NA,4,"choque",2356,2327,"Mensual"
"873",NA,NA,4,"incendio",303,287,"Mensual"
"874",NA,NA,4,"otro",93,22,"Mensual"
"875",NA,NA,5,"atropello",307,199,"Mensual"
"876",NA,NA,5,"caida_ocupante",346,250,"Mensual"
"877",NA,NA,5,"choque",2417,2453,"Mensual"
"878",NA,NA,5,"incendio",341,269,"Mensual"
"879",NA,NA,5,"otro",110,15,"Mensual"
"880",NA,NA,6,"atropello",323,264,"Mensual"
"881",NA,NA,6,"caida_ocupante",301,277,"Mensual"
"882",NA,NA,6,"choque",2222,2080,"Mensual"
"883",NA,NA,6,"incendio",348,327,"Mensual"
"884",NA,NA,6,"otro",95,26,"Mensual"
"885",NA,NA,7,"atropello",299,248,"Mensual"
"886",NA,NA,7,"caida_ocupante",318,288,"Mensual"
"887",NA,NA,7,"choque",2264,2094,"Mensual"
"888",NA,NA,7,"incendio",342,332,"Mensual"
"889",NA,NA,7,"otro",108,38,"Mensual"
"890",NA,NA,8,"atropello",315,291,"Mensual"
"891",NA,NA,8,"caida_ocupante",341,305,"Mensual"
"892",NA,NA,8,"choque",2546,2600,"Mensual"
"893",NA,NA,8,"incendio",310,317,"Mensual"
"894",NA,NA,8,"otro",82,45,"Mensual"
"895",NA,NA,9,"atropello",317,286,"Mensual"
"896",NA,NA,9,"caida_ocupante",264,201,"Mensual"
"897",NA,NA,9,"choque",2446,2425,"Mensual"
"898",NA,NA,9,"incendio",321,274,"Mensual"
"899",NA,NA,9,"otro",104,40,"Mensual"
"900",NA,NA,10,"atropello",306,145,"Mensual"
"901",NA,NA,10,"caida_ocupante",312,246,"Mensual"
"902",NA,NA,10,"choque",2474,2284,"Mensual"
"903",NA,NA,10,"incendio",305,298,"Mensual"
"904",NA,NA,10,"otro",123,57,"Mensual"
